Goal,Set,Subset,Alg,Learned?,Link
ZBLL,T,back,F' M2 U R' F' R2 U' r2 F' R U F2,TRUE,google.com
ZBLL,T,Right,R' F' r U R U' r' F,TRUE,google.com
ZBLL,T,Right,"(U) R' U' R' D' R U' M' U2 r' D R2'
R' U' R' u' f R' S' R2 F' u R2",TRUE,google.com
ZBLL,T,Right,"R U R' U' R' F' R U2 R U2 R' F
L' U2 L U2 L F' L' U' L' U L F",TRUE,google.com
ZBLL,T,Right,F U R U2 R' U R U R' F',TRUE,google.com
ZBLL,T,Right,(U') R U R' U' R' U' F R f' R' U R S,TRUE,google.com
ZBLL,T,Right,"(U2) R' U' S' R U R' S R2 f' U' f
(U2) R' B' U' R U R' U R U R' U' B R",TRUE,google.com
ZBLL,T,Right,(U') R' U2 R F U' R' U R U F' R' U R,TRUE,google.com
ZBLL,T,Right,(U) S R U' R2 U B' U' R2 U B R' S',TRUE,google.com
ZBLL,T,Right,"(U2) F U R' U' R F' R' U' R U R' U R
(U) M F' r U R' U' r' F' r U r' F r",TRUE,google.com
ZBLL,T,Right,"(U) F R' U' R2 F R' F' U R B' R2 U F' U' f z'
(U2) R U2 R' U2 R U' R' U r' F R F' r U' R'",TRUE,google.com
ZBLL,T,Right,(U') F' U f U2 R U2 R' U2 S',TRUE,google.com
ZBLL,T,Right,"(U) M' U r' U' R U R f' U' f M' U' M
(U') M U R' F' r U r U' r' F M U' M'
R' F R U2 S R' F' R S'F R U2 R' F'",TRUE,google.com
ZBLL,T,Left,r U R' U' r' F R F',TRUE,google.com
ZBLL,T,Left,(U') R' U' R S U R U' S' U R' F R F',TRUE,google.com
ZBLL,T,Left,"R U2 R' U2 R' F R U R U' R' F'
L' U' L U L F L' U2 L' U2 L F'",TRUE,google.com
ZBLL,T,Left,F' U' L' U2 L U' L' U' L F,TRUE,google.com
ZBLL,T,Left,(U') R' U' R U R U f' U' F R U' R' S,TRUE,google.com
ZBLL,T,Left,"R U S' R' U' R S R2 F R F'
R F U R' U' R U' R' U' R U F' R'",TRUE,google.com
ZBLL,T,Left,(U) L U2 L' F' U L U' L' U' F L U' L',TRUE,google.com
ZBLL,T,Left,(U) S R' U R2 U' F U R2 U' F' R S',TRUE,google.com
ZBLL,T,Left,(U') M F R' F' r U R U R' U' R U' R',TRUE,google.com
ZBLL,T,Left,"(U2) F R' U' R2 F R' F' U l U' R2 U F u' z' 
(U2) F R' U' R2 F R' F' U R f' U2 f U F'
(U) R U R D R' U' R D' S2 R2 U' R2 S2 R2",TRUE,google.com
ZBLL,T,Left,"(U') f R' F' U2 R' U2 R U2 S'
(U') f R' b' R2 D' R2 D R2 S'",TRUE,google.com
ZBLL,T,Left,(U) M U' r U R' U' R' F R F' M U M',TRUE,google.com
ZBLL,U,CP Solved,"(U) F' R F R2 D' R U R' D R2 F' R' F
(U2) R' D R D' R' D R U' R' D' R D R' D' R
(U) R' U2 R U R' U R L U2 L' U' L U' L'
(U') L U2 L' U' L U' L' R' U2 R U R' U R",TRUE,google.com
ZBLL,U,CP Solved,(U2) R U R' U R U2 R2' U' R U' R' U2 R,TRUE,google.com
ZBLL,U,CP Solved,(U') R U R' U' R U' R' U2 R U' R' U2 R U R',TRUE,google.com
ZBLL,U,CP Solved,(U) R' U' F R' F' R2 U' R' U F' U F R,TRUE,google.com
ZBLL,U,CP Solved,(U) R U2 R' U' R U' R' U' R U R' U R U2 R',TRUE,google.com
ZBLL,U,CP Solved,"L U F U' R U' R' U R' F R F2 L' 
(U2) R U R' U R' U2 R2 U R2 U R2 U' R' 
R U B U B' U R' F R' F' R2 U R'",TRUE,google.com
ZBLL,U,CP Solved,"(U2) x R2 D2 R U R' D2 R2 D' R' U' R D x'
x' R2 D2 R' U' R D2 R2' D R U R' D' x",TRUE,google.com
ZBLL,U,CP Solved,R' U' R U' R' U2 R2 U R' U R U2 R',TRUE,google.com
ZBLL,U,CP Solved,(U') R' U' R U R' U R U2 R' U R U2 R' U' R,TRUE,google.com
ZBLL,U,CP Solved,"(U) R U2' R2' F R F' R U' B U' B' R' 
(U) R U2' R2' F R F' R U' f R' f' R'
(U2) F U R' F u' R u F2 R2 U' R' F'",TRUE,google.com
ZBLL,U,CP Solved,(U) R' U2 R U R' U R U R' U' R U' R' U2 R,TRUE,google.com
ZBLL,U,CP Solved,"R' U' F' U L' U L U' L F' L' F2 R 
R' U' R U' R U2 R2 U' R2 U' R2 U R",TRUE,google.com
